NOMREG;NOMDEP;FERME;ANNREOUV;NOM DU MUSEE;ADR;CP;VILLE;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE
FRANCHE-COMTE;TERRITOIRE DE BELFORT;NON;;Donation Maurice Jardot;Musée(s) de Belfort B.P. 20223;90004;BELFORT Cedex;www.musees-franchecomte.com;11/11,01/12-01/04;
FRANCHE-COMTE;TERRITOIRE DE BELFORT;NON;;Forge-Musée;2, Rue de Lamadeleine;90170;ETUEFFONT;www.musees-des-techniques.org ou www.cc-pays-sous-vosgien.fr;;10-12,14-18
GUADELOUPE;GUADELOUPE;OUI;;Musée de l'histoire de la Guadeloupe;Fort Louis Delgrès;97100;BASSE TERRE -GUADELOUPE-;;;sept-18
GUADELOUPE;GUADELOUPE;OUI;;Ecomusée de Marie-Galante;Habitation Murat;97112;GRAND-BOURG de MARIE-GALANTE;;01/11-01/04;sept-18
GUADELOUPE;GUADELOUPE;NON;;Musée Précolombien Edgar Clerc;440 Route de la Rosette;97160;LE MOULE;www.cg971.fr/musees/clerc/index_edgar.htm;;10-12:30,13:30-18
GUADELOUPE;GUADELOUPE;NON;;Musée Municipal Saint-John Perse;9, rue de Nozière;97110;POINTE-A-PITRE;www.sjperse.org/museesjp.htm;24/12,25/12;9-12,14-17
GUADELOUPE;GUADELOUPE;OUI;;Musée l'Herminier;Office du Tourisme 1 Centre Commercial Marina;97110;POINTE-A-PITRE;;24/12,25/12,11/11;10-12:30,13:30-18
GUADELOUPE;GUADELOUPE;NON;;Musée Schoelcher;24, Rue Peynier;97110;POINTE-A-PITRE -GUADELOUPE;www.cg971.fr/musees/schoelcher/index_schoecher.htm;24/12,25/12,11/11;sept-18
GUYANE;GUYANE;NON;;Musée des Cultures Guyanaises;78, Rue Mme Payé;97300;CAYENNE;www.mcg973.org;11/11,01/12-01/04;sept-18
GUYANE;GUYANE;NON;;Musée Départemental Alexandre Franconie;1, Avenue du Général-de-Gaulle;97300;CAYENNE - GUYANE;;;9-12,14-17
GUYANE;GUYANE;NON;;Ecomusée Municipal d'Approuague-Kaw;Rue Gaston Monnerville Le Bourg;97390;REGINA;;11/11,01/12-01/04;10-12:30,13:30-18
ILE-DE-FRANCE;ESSONNE;NON;;Musée Français de la Photographie;78, Rue de Paris;91570;BIEVRES;www.museedelaphoto.fr;11/11,01/12-01/04;10-12,14-18
ILE-DE-FRANCE;ESSONNE;NON;;Musée Dunoyer de Segonzac;5, Place des Droits de l'Homme;91800;BOUSSY-SAINT-ANTOINE;;;10-12:30,13:30-18
ILE-DE-FRANCE;ESSONNE;NON;;Musée Municipal Robert Dubois-Corneau;16, Rue du Réveillon;91800;BRUNOY;www.brunoy.fr;01/01,01/04,25/12;10-12:30,13:30-18
ILE-DE-FRANCE;ESSONNE;NON;;Musée du Château;Place du Général de Gaulle;91410;DOURDAN;Site de la ville - www.mairie-dourdan.fr;24/12,25/12,11/11;13-18
ILE-DE-FRANCE;ESSONNE;NON;;Musée Intercommunal d'Etampes;Mairie d'Etampes B.P. 109;91152;ETAMPES Cedex;site de la ville;;10-12:30,13:30-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée des Années Trente;Espace Landowski 28, avenue André Morizet;92100;BOULOGNE-BILLANCOURT;Site de l'association des amis -  www.annees30.com/;;10-12,14-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée-Jardin Paul Landowski;14, Rue Max Blondat;92100;BOULOGNE-BILLANCOURT;;24/12,25/12;9-12,14-17
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée Belmondo et de la Sculpture Figurative du XXè siècle;Château Buchillot 14, Rue de l'Abreuvoir;92100;BOULOGNE-BILLANCOURT;http://www.boulognebillancourt.com;11/11,01/12-01/04;sept-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée Départemental Albert-Kahn;10-14, Rue du Port;92100;BOULOGNE-BILLANCOURT;www.albert-kahn.fr;24/12,25/12,11/11;10-12,14-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Fondation Arp;21, Rue des Châtaigniers;92140;CLAMART;www.fondationarp.org;;10-12:30,13:30-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée Municipal d'Art et d'Histoire;2, Rue Gabriel Péri;92700;COLOMBES;Site de la ville - www.mairie-colombes.fr;01/01,01/04,25/12;10-12,14-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée Roybet Fould;Parc de Bécon 178, Boulevard Saint Denis;92400;COURBEVOIE;;;10-12:30,13:30-18
ILE-DE-FRANCE;HAUTS DE SEINE;OUI;;Musée des Travaux Publics;Mairie de Courbevoie;92400;COURBEVOIE;Site de la ville;01/01,01/04,25/12;10-12:30,13:30-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée Français de la Carte à Jouer;16, Rue Auguste Gervais;92130;ISSY-LES-MOULINEAUX;www.issy.com/musee;;13-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée - Atelier Rodin;19, Avenue Auguste Rodin;92190;MEUDON;www.musee-rodin.fr;24/12,25/12;10-12,14-18
ILE-DE-FRANCE;HAUTS DE SEINE;OUI;;Musée d'Art et d'Histoire;11, Rue des Pierres;92190;MEUDON;www.ville-meudon.fr/meudon/culture-et-patrimoine/copy5_of_structures-culturelles;;13-18
ILE-DE-FRANCE;HAUTS DE SEINE;OUI;;Musée des Automates;Hôtel Arturo Lopez 12, Rue du Centre;92200;NEUILLY-SUR-SEINE;;11/11,01/12-01/04;10-12,14-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée National des Châteaux de Malmaison et de Bois-Préau;Avenue du Château de Malmaison;92500;RUEIL-MALMAISON;www.chateau-malmaison.fr;;
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée Franco-Suisse;13, Boulevard Foch;92501;RUEIL-MALMAISON Cedex;Site de la mairie : /www.mairie-rueilmalmaison.fr;;10-12:30,13:30-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée d'Histoire Locale - Mémoire de la Ville;13, Boulevard Foch;92501;RUEIL-MALMAISON Cedex;Site de la mairie : /www.mairie-rueilmalmaison.fr;;10-12,14-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée Municipal de Saint-Cloud;"""Jardin des Avelines"" 60, Rue Gounod";92210;SAINT-CLOUD;www.ville-saint-cloud.fr/temps_libre/musee.htm;24/12,25/12,11/11;sept-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Musée de l'Île de France;;92330;SCEAUX;www.chateau-sceaux.fr ou/www.domaine-de-sceaux.fr (site du conseil général) ou www.sceaux.fr;01/01,01/04,25/12;10-12:30,13:30-18
ILE-DE-FRANCE;HAUTS DE SEINE;NON;;Sèvres - Cité de la Céramique;2, Place de la Manufacture;92310;SEVRES;www.sevresciteceramique.fr;11/11,01/12-01/04;
ILE-DE-FRANCE;HAUTS DE SEINE;NON;2018;Musée René Sordes;Avenue Charles de Gaulle Passerelle des Arts;92150;SURESNES;www.ville-suresnes.fr/indexfin.html;;10-12,14-18
ILE-DE-FRANCE;PARIS;NON;;Musée National du Moyen Age-Thermes de Cluny;6, Place Paul Painlevé;75005;PARIS;www.musee-moyenage.fr;;9-12,14-17
ILE-DE-FRANCE;PARIS;NON;;Musée de la Chasse et de la Nature;60, rue des Archives;75003;PARIS;www.chassenature.org/;;sept-18
ILE-DE-FRANCE;PARIS;NON;;Musée d'Art et d'Histoire du Judaïsme;Hôtel de Saint-Aignan 71, Rue du Temple;75003;PARIS;www.mahj.org;11/11,01/12-01/04;9-12,14-17
ILE-DE-FRANCE;PARIS;OUI;;Musée National Picasso;Hôtel Salé 5, Rue de Thorigny;75003;PARIS;www.musee-picasso.fr;;10-12,14-18
ILE-DE-FRANCE;PARIS;NON;;Musée Cognacq-Jay, Musée du XVIIIe siècle de la ville de Paris;8, Rue Elzévir;75003;PARIS;www.cognacq-jay.paris.fr;;9-12,14-17
ILE-DE-FRANCE;PARIS;NON;;Musée Carnavalet-Histoire de Paris;23, Rue de Sévigné;75003;PARIS;www.paris.fr/musees/musee_carnavalet;;13-18
ILE-DE-FRANCE;PARIS;OUI;;Galerie d’entomologie (Muséum national d'histoire naturelle);57, Rue Cuvier;75005;PARIS;www.mnhn.fr;;10-12,14-18
ILE-DE-FRANCE;PARIS;NON;;Musée de l'Assistance Publique - Hôpitaux de Paris;10, Rue des Fossés Saint-Marcel;75005;PARIS;www.aphp.fr;11/11,01/12-01/04;10-12:30,13:30-18
ILE-DE-FRANCE;PARIS;NON;;Galerie d'Anatomie Comparée et de Paléontologie (Muséum d'Histoire Naturelle);Jardin des Plantes 2, rue Buffon;75005;PARIS;www.mnhn.fr;24/12,25/12,11/11;sept-18
ILE-DE-FRANCE;PARIS;OUI;;Galerie de Botanique (Muséum National National d'Histoire Naturelle);;75005;PARIS;;24/12,25/12;
ILE-DE-FRANCE;PARIS;OUI;2016;Galerie de Minéralogie et de Géologie (Muséum d'Histoire Naturelle);Jardin des Plantes 36, Rue Geoffroy Saint-Hilaire;75005;PARIS;www.mnhn.fr;;
ILE-DE-FRANCE;PARIS;NON;;Maison de Victor Hugo;6, Place des Vosges;75004;PARIS;www.musee-hugo.paris.fr;;
ILE-DE-FRANCE;PARIS;NON;;Crypte Archéologique du Parvis Notre-Dame;7, Parvis Notre-Dame Place Jean Paul II;75004;PARIS;http://crypte.paris.fr/;01/11-01/04;10-12:30,13:30-18
ILE-DE-FRANCE;PARIS;NON;;Musées Arts Décoratifs  Mode et du Textile;107, Rue de Rivoli;75001;PARIS;www.lesartsdecoratifs.fr;24/12,25/12,11/11;sept-18
ILE-DE-FRANCE;PARIS;NON;;Musée National Eugène Delacroix;6, Rue Furstenberg;75006;PARIS;www.musee-delacroix.fr;;
ILE-DE-FRANCE;PARIS;NON;;Grande Galerie de l'Evolution (Muséum National d'Histoire Naturelle);Jardin des Plantes 36, rue Geoffroy Saint-Hilaire;75005;PARIS;www.mnhn.fr;01/01,01/04,25/12;10-12,14-18
ILE-DE-FRANCE;PARIS;NON;;Musée de l'Armée;Hôtel National des Invalides 129, rue de Grenelle;75007;PARIS;www.invalides.org;11/11,01/12-01/04;10-12:30,13:30-18
ILE-DE-FRANCE;PARIS;NON;;Maison de Balzac;47, rue Raynouard;75016;PARIS;www.balzac.paris.fr;01/11-01/04;10-12:30,13:30-18
ILE-DE-FRANCE;PARIS;NON;;Musée du Louvre;34, Quai du Louvre;75001;PARIS;www.louvre.fr;;9-12,14-17
ILE-DE-FRANCE;PARIS;NON;;Musée National de la Marine;17, Place du Trocadéro;75116;PARIS;www.musee-marine.fr;;13-18
ILE-DE-FRANCE;PARIS;NON;;Mémorial du Maréchal Leclerc de Hauteclocque et de la Libération de Paris - Musée Jean Moulin;23, Allée de la 2ème DB;75015;PARIS;www.ml-leclerc-moulin.paris.fr;24/12,25/12,11/11;10-12,14-18
ILE-DE-FRANCE;PARIS;NON;;Musée National du Sport;93, avenue de France;75013;PARIS;www.museedusport.fr;24/12,25/12,11/11;9-12,14-17
ILE-DE-FRANCE;PARIS;NON;;Musée Jean-Jacques Henner;43, Avenue de Villiers;75017;PARIS;www.musee-henner.fr ou www.henner-intime.fr;;9-12,14-17
ILE-DE-FRANCE;PARIS;NON;;Musée de Montmartre;12, Rue Cortot;75018;PARIS;www.museedemontmartre.fr;;sept-18
ILE-DE-FRANCE;PARIS;OUI;;Musée Bouchard;25, Rue de l'Yvette;75016;PARIS;www.musee-bouchard.com;;13-18
